eventTime,rootSeq,sourceDevice,deviceType,sensorDeviceId,sensorSeq,frequencyHz,voltageL1,voltageL2,voltageL3,ingestTime
"3/31/2026, 4:36:51.9 PM",362,K300_edge_device,micropmu,micropmu-01,362,49.96013641,217.2549133,217.984375,219.3964233,"3/31/2026, 4:36:45.93 PM"
"3/31/2026, 4:36:46.9 PM",361,K300_edge_device,micropmu,micropmu-01,361,49.96306992,217.4082794,217.8011627,219.4827271,"3/31/2026, 4:36:40.82 PM"
"3/31/2026, 4:36:41.9 PM",360,K300_edge_device,micropmu,micropmu-01,360,49.96525574,217.4947662,218.0832367,219.500885,"3/31/2026, 4:36:35.866 PM"
"3/31/2026, 4:36:36.9 PM",359,K300_edge_device,micropmu,micropmu-01,359,49.96126938,217.4997711,218.0727539,219.2773132,"3/31/2026, 4:36:30.99 PM"
"3/31/2026, 4:36:36.222004 PM",361,K300_edge_device,pqube3,pqube3-01,364,49.96846008,217.3095703,217.8009033,219.4503784,"3/31/2026, 4:36:40.82 PM"
"3/31/2026, 4:36:31.9 PM",358,K300_edge_device,micropmu,micropmu-01,358,49.9697876,217.4690552,217.9710693,219.4030609,"3/31/2026, 4:36:25.738 PM"
"3/31/2026, 4:36:31.209052 PM",360,K300_edge_device,pqube3,pqube3-01,363,49.96136856,217.2042847,218.0114746,219.3099976,"3/31/2026, 4:36:35.866 PM"
"3/31/2026, 4:36:26.9 PM",357,K300_edge_device,micropmu,micropmu-01,357,49.97954559,217.6989441,218.1036987,219.6356354,"3/31/2026, 4:36:20.987 PM"
"3/31/2026, 4:36:26.220747 PM",359,K300_edge_device,pqube3,pqube3-01,362,49.96482086,217.3797607,218.0114746,219.2047119,"3/31/2026, 4:36:30.99 PM"
"3/31/2026, 4:36:21.9 PM",356,K300_edge_device,micropmu,micropmu-01,356,49.98074722,217.6607361,218.0233917,219.5296021,"3/31/2026, 4:36:16.018 PM"
"3/31/2026, 4:36:21.230005 PM",358,K300_edge_device,pqube3,pqube3-01,361,49.97576523,217.3797607,217.8710938,219.3099976,"3/31/2026, 4:36:25.738 PM"
"3/31/2026, 4:36:16.9 PM",355,K300_edge_device,micropmu,micropmu-01,355,49.98230743,217.7735901,217.9599457,219.5349731,"3/31/2026, 4:36:10.989 PM"
"3/31/2026, 4:36:16.229205 PM",357,K300_edge_device,pqube3,pqube3-01,360,49.97809982,217.7307129,218.1167603,219.5556641,"3/31/2026, 4:36:20.987 PM"
"3/31/2026, 4:36:11.9 PM",354,K300_edge_device,micropmu,micropmu-01,354,49.98114777,217.7506866,217.8915405,219.4423828,"3/31/2026, 4:36:05.989 PM"
"3/31/2026, 4:36:11.215364 PM",356,K300_edge_device,pqube3,pqube3-01,359,49.98231125,217.6956177,218.1167603,219.5907593,"3/31/2026, 4:36:16.018 PM"
"3/31/2026, 4:36:06.9 PM",353,K300_edge_device,micropmu,micropmu-01,353,49.9763031,217.8470154,218.0097809,219.2906494,"3/31/2026, 4:36:00.877 PM"
"3/31/2026, 4:36:06.206664 PM",355,K300_edge_device,pqube3,pqube3-01,358,49.98142624,217.6605225,217.8359985,219.4854736,"3/31/2026, 4:36:10.989 PM"
"3/31/2026, 4:36:01.9 PM",352,K300_edge_device,micropmu,micropmu-01,352,49.9685936,217.8511658,217.8845825,219.3887482,"3/31/2026, 4:35:55.814 PM"
"3/31/2026, 4:36:01.217504 PM",354,K300_edge_device,pqube3,pqube3-01,357,49.98199463,217.6605225,217.9763794,219.3450928,"3/31/2026, 4:36:05.989 PM"
"3/31/2026, 4:35:56.9 PM",351,K300_edge_device,micropmu,micropmu-01,351,49.97397995,217.7202911,218.0158234,219.2534485,"3/31/2026, 4:35:50.932 PM"
"3/31/2026, 4:35:56.222467 PM",353,K300_edge_device,pqube3,pqube3-01,356,49.97184753,217.8009033,217.8710938,219.3099976,"3/31/2026, 4:36:00.877 PM"
"3/31/2026, 4:35:51.9 PM",350,K300_edge_device,micropmu,micropmu-01,350,49.96828842,217.5812683,217.9553833,218.9551392,"3/31/2026, 4:35:45.803 PM"
"3/31/2026, 4:35:51.211682 PM",352,K300_edge_device,pqube3,pqube3-01,355,49.96651077,217.8009033,217.8710938,219.3450928,"3/31/2026, 4:35:55.814 PM"
"3/31/2026, 4:35:46.9 PM",349,K300_edge_device,micropmu,micropmu-01,349,49.96866989,217.4984741,217.9169006,219.076828,"3/31/2026, 4:35:41.005 PM"
"3/31/2026, 4:35:46.204403 PM",351,K300_edge_device,pqube3,pqube3-01,354,49.96721268,217.6605225,217.906189,219.1345215,"3/31/2026, 4:35:50.932 PM"
"3/31/2026, 4:35:41.9 PM",348,K300_edge_device,micropmu,micropmu-01,348,49.94852448,217.6654663,218.0895538,219.3129578,"3/31/2026, 4:35:35.724 PM"
"3/31/2026, 4:35:41.209022 PM",350,K300_edge_device,pqube3,pqube3-01,353,49.9677124,217.4850464,218.0114746,218.9239502,"3/31/2026, 4:35:45.803 PM"
"3/31/2026, 4:35:36.9 PM",347,K300_edge_device,micropmu,micropmu-01,347,49.93858337,217.3722992,217.7758942,219.2476654,"3/31/2026, 4:35:31.114 PM"
"3/31/2026, 4:35:36.216209 PM",349,K300_edge_device,pqube3,pqube3-01,352,49.96174622,217.590332,218.0114746,219.0994263,"3/31/2026, 4:35:41.005 PM"
"3/31/2026, 4:35:31.9 PM",346,K300_edge_device,micropmu,micropmu-01,346,49.94839859,217.4624023,217.925293,219.3553467,"3/31/2026, 4:35:25.832 PM"
"3/31/2026, 4:35:31.205801 PM",348,K300_edge_device,pqube3,pqube3-01,351,49.94145966,217.5201416,217.9412842,219.3099976,"3/31/2026, 4:35:35.724 PM"
"3/31/2026, 4:35:26.9 PM",345,K300_edge_device,micropmu,micropmu-01,345,49.95080948,217.4329681,217.9314575,219.4538727,"3/31/2026, 4:35:20.75 PM"
"3/31/2026, 4:35:26.223286 PM",347,K300_edge_device,pqube3,pqube3-01,350,49.94232559,217.2744751,217.8359985,219.1345215,"3/31/2026, 4:35:31.114 PM"
"3/31/2026, 4:35:21.9 PM",344,K300_edge_device,micropmu,micropmu-01,344,49.94730377,217.1186829,217.7815399,219.2346191,"3/31/2026, 4:35:16.14 PM"
"3/31/2026, 4:35:21.211646 PM",346,K300_edge_device,pqube3,pqube3-01,349,49.94812393,217.414856,218.0465698,219.4854736,"3/31/2026, 4:35:25.832 PM"
"3/31/2026, 4:35:16.9 PM",343,K300_edge_device,micropmu,micropmu-01,343,49.9520874,217.4128418,217.8084412,219.4588165,"3/31/2026, 4:35:10.809 PM"
"3/31/2026, 4:35:16.244333 PM",345,K300_edge_device,pqube3,pqube3-01,348,49.9505806,217.3797607,217.9412842,219.4152832,"3/31/2026, 4:35:20.75 PM"
"3/31/2026, 4:35:11.9 PM",342,K300_edge_device,micropmu,micropmu-01,342,49.95742035,217.3836212,217.8604431,219.3506012,"3/31/2026, 4:35:05.797 PM"
"3/31/2026, 4:35:11.202101 PM",344,K300_edge_device,pqube3,pqube3-01,347,49.95428085,216.9937134,217.6956177,219.1345215,"3/31/2026, 4:35:16.14 PM"
"3/31/2026, 4:35:06.9 PM",341,K300_edge_device,micropmu,micropmu-01,341,49.95714188,217.2749939,217.9347687,219.3130951,"3/31/2026, 4:35:00.894 PM"
"3/31/2026, 4:35:06.351662 PM",343,K300_edge_device,pqube3,pqube3-01,346,49.9510994,217.2042847,217.5552368,219.2047119,"3/31/2026, 4:35:10.809 PM"
"3/31/2026, 4:35:01.9 PM",340,K300_edge_device,micropmu,micropmu-01,340,49.95269012,217.3710175,218.0739136,219.5081482,"3/31/2026, 4:34:56.033 PM"
"3/31/2026, 4:35:01.215643 PM",342,K300_edge_device,pqube3,pqube3-01,345,49.9552803,217.3095703,217.6605225,219.3099976,"3/31/2026, 4:35:05.797 PM"
"3/31/2026, 4:34:56.9 PM",339,K300_edge_device,micropmu,micropmu-01,339,49.95350266,217.4928894,217.9844666,219.4123993,"3/31/2026, 4:34:50.881 PM"
"3/31/2026, 4:34:56.203429 PM",341,K300_edge_device,pqube3,pqube3-01,344,49.95586014,217.2744751,217.9763794,219.380188,"3/31/2026, 4:35:00.894 PM"
"3/31/2026, 4:34:51.9 PM",338,K300_edge_device,micropmu,micropmu-01,338,49.96218872,217.647934,217.9736176,219.5030975,"3/31/2026, 4:34:45.921 PM"
"3/31/2026, 4:34:51.211679 PM",340,K300_edge_device,pqube3,pqube3-01,343,49.95310974,217.3797607,218.1518555,219.5205688,"3/31/2026, 4:34:56.033 PM"
"3/31/2026, 4:34:46.9 PM",337,K300_edge_device,micropmu,micropmu-01,337,49.96300888,217.266922,218.0247803,219.283844,"3/31/2026, 4:34:40.701 PM"
"3/31/2026, 4:34:46.232327 PM",339,K300_edge_device,pqube3,pqube3-01,342,49.95702362,217.590332,218.081665,219.4854736,"3/31/2026, 4:34:50.881 PM"
"3/31/2026, 4:34:41.9 PM",336,K300_edge_device,micropmu,micropmu-01,336,49.95816803,217.7128448,218.3937988,219.6239777,"3/31/2026, 4:34:35.732 PM"
"3/31/2026, 4:34:41.224524 PM",338,K300_edge_device,pqube3,pqube3-01,341,49.96195984,217.5201416,217.9763794,219.4503784,"3/31/2026, 4:34:45.921 PM"
"3/31/2026, 4:34:36.9 PM",335,K300_edge_device,micropmu,micropmu-01,335,49.95756149,217.7811432,218.4205627,219.8450623,"3/31/2026, 4:34:31.028 PM"
