eventTime,rootSeq,sourceDevice,deviceType,sensorDeviceId,sensorSeq,frequencyHz,voltageL1,voltageL2,voltageL3,ingestTime,avg_voltage,voltage_spread,time_gap_seconds
2026-03-31 14:50:48.900000,0,K300_edge_device,micropmu,micropmu-01,0,49.86471176,218.2401581,218.713501,219.2653503,2026-03-31 14:50:43.116,218.7396698,1.0251921999999922,0.0
2026-03-31 14:50:53.900000,1,K300_edge_device,micropmu,micropmu-01,1,49.86462402,218.0722198,218.479126,219.1163788,2026-03-31 14:50:47.586,218.5559082,1.0441590000000076,5.0
2026-03-31 14:50:58.900000,2,K300_edge_device,micropmu,micropmu-01,2,49.86491394,217.9963226,218.5465698,219.3338776,2026-03-31 14:50:52.619,218.62559000000002,1.3375549999999805,5.0
2026-03-31 14:51:03.900000,3,K300_edge_device,micropmu,micropmu-01,3,49.86058044,217.7619324,218.6309052,219.307785,2026-03-31 14:50:57.598,218.5668742,1.5458525999999893,5.0
2026-03-31 14:51:08.900000,4,K300_edge_device,micropmu,micropmu-01,4,49.85539627,217.640976,218.6009216,219.3082123,2026-03-31 14:51:02.568,218.51670330000002,1.6672363000000132,5.0
2026-03-31 14:51:13.900000,5,K300_edge_device,micropmu,micropmu-01,5,49.86130524,217.8258667,218.4175415,219.6279297,2026-03-31 14:51:07.633,218.6237793,1.802063000000004,5.0
2026-03-31 14:51:18.900000,6,K300_edge_device,micropmu,micropmu-01,6,49.85736847,217.8332672,218.3888855,219.3194885,2026-03-31 14:51:12.574,218.51388039999998,1.486221300000011,5.0
2026-03-31 14:51:23.900000,7,K300_edge_device,micropmu,micropmu-01,7,49.86986542,217.8096924,218.5126038,219.355484,2026-03-31 14:51:17.590,218.55926006666664,1.5457916000000012,5.0
2026-03-31 14:51:27.900000,8,K300_edge_device,micropmu,micropmu-01,8,49.85993958,217.7900543,218.2939301,219.4035187,2026-03-31 14:51:22.559,218.49583436666668,1.613464399999998,4.0
2026-03-31 14:51:32.900000,9,K300_edge_device,micropmu,micropmu-01,9,49.85979462,217.7483368,218.2390137,219.4033203,2026-03-31 14:51:27.576,218.4635569333333,1.654983499999986,5.0
